Player,teamAbbreviation,GP,MPG,PTS,REB,AST,STL,BLK,TO,FG%,3P%,FT%
JT_Thor,CHA,63,12.4,3.2,2.3,0.5,0.2,0.4,0.2,43.7,34.6,55
James_Bouknight,CHA,14,5.8,3.6,0.6,0.4,0.1,0.1,0.1,43.9,43.3,50
Bryce_McGowens,CHA,59,14.9,5.1,1.7,0.9,0.4,0.2,0.5,43.9,33.3,77.6
Mark_Williams,CHA,19,26.7,12.7,9.7,1.2,0.8,1.1,0.9,64.9,0,71.9
Brandon_Miller,CHA,74,32.2,17.3,4.3,2.4,0.9,0.6,1.8,44,37.3,82.7
Nick_Smith_Jr.,CHA,51,14.3,5.9,1.4,1.2,0.2,0.1,0.8,39.1,43.2,86.7
Amari_Bailey,CHA,10,6.5,2.3,0.9,0.7,0.3,0,0.4,33.3,12.5,85.7
Leaky_Black,CHA,26,10.9,2.7,1.8,0.9,0.3,0.4,0.2,48.1,45,66.7		
DeMar_DeRozan,CHI,79,37.8,24,4.3,5.3,1.1,0.6,1.7,48,33.3,85.3
Andre_Drummond,CHI,79,17.1,8.4,9,0.5,0.9,0.6,1,55.6,0,59.2
Nikola_Vucevic,CHI,76,34.3,18,10.5,3.3,0.7,0.8,1.6,48.4,29.4,82.2
Zach_LaVine,CHI,25,34.9,19.5,5.2,3.9,0.8,0.3,2.1,45.2,34.9,85.4
Alex_Caruso,CHI,71,28.7,10.1,3.8,3.5,1.7,1,1.4,46.8,40.8,76
Torrey_Craig,CHI,53,19.8,5.7,4.1,1.1,0.6,0.4,0.6,43,39.2,75
Jevon_Carter,CHI,72,13.9,5,0.8,1.3,0.5,0.2,0.5,37.8,32.9,57.1
Coby_White,CHI,79,36.5,19.1,4.5,5.1,0.7,0.2,2.1,44.7,37.6,83.8
Javonte_Green,CHI,9,25.6,12.2,7.4,0.6,1.1,0.9,0.8,60,37,76.9
Patrick_Williams,CHI,43,27.3,10,3.9,1.5,0.9,0.8,1.3,44.3,39.9,78.8
Ayo_Dosunmu,CHI,76,29.1,12.2,2.8,3.2,0.9,0.5,1.4,50.1,40.3,81
Terry_Taylor,CHI,31,6.1,1.5,1.2,0.3,0.2,0.1,0.2,51.3,22.2,80
Dalen_Terry,CHI,59,11.5,3.1,1.9,1.4,0.5,0.3,0.5,43.9,23,58.1
Julian_Phillips,CHI,40,8.1,2.2,0.9,0.3,0.2,0.2,0.3,41.6,31.6,68.4
Adama_Sanogo,CHI,9,7.3,4,4,0,0.1,0,0.6,51.9,0,66.7
Onuralp_Bitim,CHI,23,11.7,3.5,1.4,0.6,0.1,0.1,0.4,38.1,27.3,80
Henri_Drell,CHI,4,7.5,2.8,1,1,0.5,0.3,0.5,40,33.3,50
Andrew_Funk,CHI,5,2.6,0,0,0,0.2,0.2,0,0,0,0
Dean_Wade,CLE,54,20.5,5.4,4,0.8,0.7,0.5,0.4,41.4,39.1,76.9
Tristan_Thompson,CLE,49,11.2,3.3,3.6,1,0.2,0.3,0.6,60.8,0,28.8
Max_Strus,CLE,70,32,12.2,4.8,4,0.9,0.4,1.6,41.8,35.1,79.4
Craig_Porter_Jr.,CLE,51,12.7,5.6,2.1,2.3,0.4,0.3,0.9,50.9,35.3,73.2
Isaac_Okoro,CLE,69,27.3,9.4,3,1.9,0.8,0.5,0.8,49,39.1,67.9
Georges_Niang,CLE,82,22.3,9.4,3.4,1.2,0.4,0.2,0.9,44.9,37.6,85
Pete_Nance,CLE,8,3.4,0.4,0.4,0,0.1,0,0.1,16.7,100,0
Marcus_Morris_Sr.,CLE,12,15,5.8,2.1,0.8,0.2,0.2,0.9,44.1,41.4,62.5
Isaiah_Mobley,CLE,10,7.2,2.3,1,0.6,0.2,0,0.2,41.7,30,0
Evan_Mobley,CLE,50,30.6,15.7,9.4,3.2,0.9,1.4,1.8,58,37.3,71.9
Donovan_Mitchell,CLE,55,35.3,26.6,5.1,6.1,1.8,0.5,2.8,46.2,36.8,86.5
Sam_Merrill,CLE,61,17.5,8,2,1.8,0.3,0.1,0.3,40.2,40.4,92.9
Caris_LeVert,CLE,68,28.8,14,4.1,5.1,1.1,0.5,1.7,42.1,32.5,76.6
Damian_Jones,CLE,39,6.9,2.7,1.6,0.4,0.2,0.3,0.3,59.7,21.4,85.7
Ty_Jerome,CLE,2,7.5,2,0.5,1.5,0,0,0.5,50,0,0
Darius_Garland,CLE,57,33.4,18,2.7,6.5,1.3,0.1,3.1,44.6,37.1,83.4
Emoni_Bates,CLE,15,8.9,2.7,0.9,0.7,0.1,0.1,0.5,30.6,30.3,25
Jarrett_Allen,CLE,77,31.7,16.5,10.5,2.7,0.7,1.1,1.6,63.4,0,74.2
Tim_Hardaway_Jr.,DAL,79,26.8,14.4,3.2,1.8,0.5,0.1,0.9,40.2,35.3,85.2
Kyrie_Irving,DAL,58,35,25.6,5,5.2,1.3,0.5,1.8,49.7,41.1,90.5
Markieff_Morris,DAL,26,8.3,2.5,1.5,0.6,0.2,0.1,0.5,33.8,35.7,83.3
Seth_Curry,DAL,36,12.7,4.3,1.4,0.8,0.5,0.1,0.4,37.2,36.3,89.5
Dante_Exum,DAL,55,19.8,7.8,2.7,2.9,0.4,0.1,0.9,53.3,49.1,77.9
Dwight_Powell,DAL,63,13.3,3.3,3.4,1.3,0.4,0.3,0.5,67.9,33.3,70.8
Richaun_Holmes,DAL,23,10.3,3.4,3.4,0.7,0.1,0.4,0.5,55.9,,57.1
Derrick_Jones_Jr.,DAL,76,23.5,8.6,3.3,1,0.7,0.7,0.9,48.3,34.3,71.3
Maxi_Kleber,DAL,43,20.3,4.4,3.3,1.6,0.4,0.7,0.7,43.2,34.8,70.2
Luka_Doncic,DAL,70,37.5,33.9,9.2,9.8,1.4,0.5,4,48.7,38.2,78.6
P.J._Washington_Jr.,DAL,29,32.2,11.7,6.2,1.5,1.2,0.9,1,42.1,31.4,62.7
Grant_Williams,DAL,47,26.4,8.1,3.6,1.7,0.5,0.6,1.1,41.3,37.6,74.5
Daniel_Gafford,DAL,29,21.5,11.2,6.9,1.6,0.7,1.9,1,78,,60.7
Josh_Green,DAL,57,26.4,8.2,3.2,2.3,0.8,0.2,1.1,47.9,38.5,68.4
Greg_Brown_III,DAL,6,6.7,2.5,1.5,0.7,0,0.7,0.7,45.5,33.3,44.4
A.J._Lawson,DAL,42,7.4,3.2,1.2,0.5,0.2,0.1,0.3,44.6,26,65.2
Brandon_Williams,DAL,17,6.6,3.2,0.8,1,0.1,0.1,0.4,37,20,64.7
Jaden_Hardy,DAL,73,13.5,7.3,1.8,1.5,0.3,0.1,0.8,40.7,36.2,77.6
Dereck_Lively_II,DAL,55,23.5,8.8,6.9,1.1,0.7,1.4,0.9,74.7,,50.6
Olivier-Maxence_Prosper,DAL,40,8.4,3,2,0.6,0.2,0.1,0.2,38.5,28.9,68.3
Dexter_Dennis,DAL,4,7.5,5.5,2.3,1,0,0.3,0.8,52.6,12.5,33.3
Alex_Fudge,DAL,2,13,5.5,1.5,0,1.5,0,0.5,55.6,33.3,
Kentavious_Caldwell-Pope,DEN,76,31.6,10.1,2.4,2.4,1.3,0.6,1,46,40.6,89.4
